"Home Office","Standard Class","CA-2011-100293",91.056
"Consumer","Second class","CA-2011-100706",129.440
"Consumer","Standard Class","CA-2011-100895",605.470
"Corporate","Standard Class","CA-2011-100916",788.860
"Consumer","Second class","CA-2011-101266",13.360
"Corporate","Second class","CA-2011-101560",542.340
"Corporate","Standard Class","CA-2011-101770",1.869
"Corporate","Standard Class","CA-2011-102274",865.500
"Corporate","Standard Class","CA-2011-102673",1044.440
"Corporate","Second class","CA-2011-102988",4251.920
"Corporate","First Class","CA-2011-103317",242.546
"Consumer","First Class","CA-2011-103366",149.950
"Corporate","Standard Class","CA-2011-103807",21.190
"Corporate","First Class","CA-2011-103989",590.762
"Consumer","Standard Class","CA-2011-104283",616.140
"Corporate","First Class","CA-2011-106054",12.780
"Corporate","Standard Class","CA-2011-106810",310.880
"Consumer","Standard Class","CA-2011-107573",23.472
"Corporate","Standard Class","CA-2011-107811",661.504
"Home Office","Standard Class","CA-2011-108707",10.368
"Consumer","First Class","CA-2011-109043",243.600
"Consumer","Second class","CA-2011-109232",545.940
"Consumer","Standard Class","CA-2011-110100",302.376
"Corporate","Second class","CA-2011-110408",2216.800
"Consumer","Second class","CA-2011-110422",25.248
"Corporate","Standard Class","CA-2011-111500",484.790
"Corporate","First Class","CA-2011-111934",47.320
"Corporate","Standard Class","CA-2011-112718",1.167
"Consumer","Same Day","CA-2011-113047",11.850
"Consumer","First Class","CA-2011-113166",9.568
"Corporate","Standard Class","CA-2011-114314",16.230
"Corporate","Standard Class","CA-2011-114321",1417.350
"Consumer","Standard Class","CA-2011-114335",337.088
"Corporate","Second class","CA-2011-114790",782.630
"Corporate","Standard Class","CA-2011-115084",605.340
"Consumer","Second class","CA-2011-115357",62.910
"Consumer","Standard Class","CA-2011-116190",256.480
"Consumer","Same Day","CA-2011-116239",354.900
"Consumer","Standard Class","CA-2011-116407",362.176
"Consumer","Standard Class","CA-2011-116568",186.304
"Consumer","Standard Class","CA-2011-117016",15.552
"Corporate","Standard Class","CA-2011-117345",202.896
"Corporate","Standard Class","CA-2011-117639",3333.900
"Corporate","Second class","CA-2011-120432",25.500
"Home Office","Standard Class","CA-2011-120670",799.920
"Consumer","Second class","CA-2011-120768",1979.890
"Consumer","Standard Class","CA-2011-120950",43.680
"Corporate","Second class","CA-2011-121286",66.616
"Home Office","Standard Class","CA-2011-122217",111.150
"Consumer","Standard Class","CA-2011-123400",199.296
"Consumer","Second class","CA-2011-123925",40.050
"Consumer","First Class","CA-2011-124023",8.960
"Consumer","Second class","CA-2011-124618",479.984
"Corporate","First Class","CA-2011-124688",1812.010
"Corporate","Standard Class","CA-2011-125136",106.944
"Corporate","First Class","CA-2011-125682",9.960
"Consumer","Standard Class","CA-2011-127299",2692.329
"Consumer","Second class","CA-2011-127488",4.608
"Consumer","Standard Class","CA-2011-127614",1508.130
"Consumer","Standard Class","CA-2011-128839",254.970
"Corporate","Standard Class","CA-2011-128846",752.920
"Corporate","Standard Class","CA-2011-129091",1022.610
"Corporate","Second class","CA-2011-129819",12.390
"Consumer","First Class","CA-2011-130155",34.200
"Consumer","Same Day","CA-2011-130428",1142.165
"Consumer","Second class","CA-2011-130918",7.632
"Consumer","Standard Class","CA-2011-131527",95.968
"Consumer","Same Day","CA-2011-131541",193.152
"Corporate","First Class","CA-2011-131905",321.560
"Home Office","First Class","CA-2011-132010",389.740
"Consumer","Second class","CA-2011-132612",1441.300
"Home Office","Standard Class","CA-2011-133634",47.790
"Consumer","Standard Class","CA-2011-134551",732.312
"Home Office","Standard Class","CA-2011-134621",18.240
"Corporate","Standard Class","CA-2011-136336",828.840
"Home Office","First Class","CA-2011-136567",2884.370
"Consumer","First Class","CA-2011-136861",31.984
"Corporate","Standard Class","CA-2011-137911",88.768
"Consumer","Standard Class","CA-2011-138296",24.560
"Corporate","Standard Class","CA-2011-138527",192.424
"Consumer","Standard Class","CA-2011-138709",37.440
"Home Office","First Class","CA-2011-140165",405.456
"Consumer","Standard Class","CA-2011-140886",69.216
"Consumer","Second class","CA-2011-142727",69.900
"Consumer","Same Day","CA-2011-142951",23.472
"Consumer","Standard Class","CA-2011-143182",15.384
"Consumer","Standard Class","CA-2011-143840",180.930
"Home Office","Standard Class","CA-2011-145317",23661.228
"Consumer","Second class","CA-2011-145576",26.128
"Consumer","Standard Class","CA-2011-146731",147.344
"Corporate","Standard Class","CA-2011-146885",13.620
"Home Office","Standard Class","CA-2011-148285",22.320
"Corporate","Standard Class","CA-2011-148425",6.642
"Corporate","Standard Class","CA-2011-149020",54.830
"Corporate","Standard Class","CA-2011-149538",364.930
"Consumer","Standard Class","CA-2011-149958",370.782
"Corporate","Standard Class","CA-2011-151953",2.816
"Corporate","Standard Class","CA-2011-151967",129.920
"Consumer","Same Day","CA-2011-152254",310.688
"Consumer","Standard Class","CA-2011-152268",1793.980
"Corporate","Standard Class","CA-2011-152562",75.160
"Corporate","Standard Class","CA-2011-152849",4.368
"Corporate","Standard Class","CA-2011-153087",521.920
"Corporate","Second class","CA-2011-153913",1015.816
"Consumer","First Class","CA-2011-153927",286.650
"Consumer","Second class","CA-2011-154158",619.848
"Corporate","Standard Class","CA-2011-155208",39.072
"Consumer","Standard Class","CA-2011-155390",42.208
"Consumer","Second class","CA-2011-155852",19.456
"Consumer","Second class","CA-2011-156006",47.790
"Home Office","Standard Class","CA-2011-156244",457.744
"Consumer","Second class","CA-2011-156790",155.456
"Home Office","Second class","CA-2011-157609",471.920
"Consumer","First Class","CA-2011-157784",514.030
"Home Office","Second class","CA-2011-158274",682.910
"Consumer","Second class","CA-2011-158470",129.330
"Corporate","Same Day","CA-2011-158771",158.710
"Consumer","Standard Class","CA-2011-159184",149.560
"Consumer","Standard Class","CA-2011-159681",105.520
"Consumer","First Class","CA-2011-160094",1000.950
"Corporate","Standard Class","CA-2011-160276",177.680
"Corporate","Standard Class","CA-2011-160773",581.104
"Consumer","Standard Class","CA-2011-161634",32.400
"Corporate","Second class","CA-2011-162775",1287.260
"Consumer","Standard Class","CA-2011-163013",14.670
"Corporate","Standard Class","CA-2011-163223",3769.560
"Corporate","First Class","CA-2011-163293",116.850
"Consumer","Standard Class","CA-2011-164315",1220.670
"Consumer","First Class","CA-2011-164749",9.912
"Corporate","Second class","CA-2011-164910",7.872
"Consumer","Standard Class","CA-2011-165764",1395.673
"Home Office","Same Day","CA-2011-165806",259.290
"Consumer","Standard Class","CA-2011-166051",773.700
"Consumer","Second class","CA-2011-166457",40.540
"Consumer","First Class","CA-2011-166730",39.128
"Home Office","Standard Class","CA-2011-167199",4374.880
"Corporate","Standard Class","CA-2011-167850",193.936
"Consumer","Standard Class","CA-2011-169257",63.381
"Corporate","First Class","CA-2011-169684",426.942
"Consumer","Second class","CA-2011-169775",709.043
"Home Office","Same Day","CA-2012-100769",255.968
"Consumer","Standard Class","CA-2012-100888",47.952
"Consumer","Standard Class","CA-2012-101868",175.320
"Home Office","Standard Class","CA-2012-102260",763.508
"Consumer","Standard Class","CA-2012-102491",3747.930
"Consumer","Standard Class","CA-2012-102582",1918.790
"Consumer","First Class","CA-2012-102722",106.500
